symbol,name,exchange,sector,price,change_pct,volume,currency,as_of
AAPL,Apple Inc,NASDAQ,Technology,198.45,1.24,48200000,USD,2026-07-15T16:00:00+00:00
MSFT,Microsoft Corp,NASDAQ,Technology,452.10,0.68,22100000,USD,2026-07-15T16:00:00+00:00
GOOGL,Alphabet Inc Class A,NASDAQ,Technology,178.22,-0.35,18500000,USD,2026-07-15T16:00:00+00:00
AMZN,Amazon.com Inc,NASDAQ,Consumer Discretionary,195.80,0.92,31200000,USD,2026-07-15T16:00:00+00:00
TSLA,Tesla Inc,NASDAQ,Consumer Discretionary,248.55,-1.85,98000000,USD,2026-07-15T16:00:00+00:00
NVDA,NVIDIA Corp,NASDAQ,Technology,128.40,2.15,275000000,USD,2026-07-15T16:00:00+00:00
META,Meta Platforms Inc,NASDAQ,Technology,512.30,0.41,14200000,USD,2026-07-15T16:00:00+00:00
JPM,JPMorgan Chase & Co,NYSE,Financials,212.75,0.55,9800000,USD,2026-07-15T16:00:00+00:00
XOM,Exxon Mobil Corp,NYSE,Energy,112.40,-0.22,12500000,USD,2026-07-15T16:00:00+00:00
BP,BP p.l.c.,NYSE,Energy,35.18,0.11,8200000,USD,2026-07-15T16:00:00+00:00
SHEL,Shell plc,NYSE,Energy,72.65,0.28,5400000,USD,2026-07-15T16:00:00+00:00
SAP,SAP SE,XETRA,Technology,198.10,0.75,2100000,EUR,2026-07-15T15:30:00+00:00
SIE,Siemens AG,XETRA,Industrials,176.45,-0.40,1850000,EUR,2026-07-15T15:30:00+00:00
ALV,Allianz SE,XETRA,Financials,268.90,0.32,920000,EUR,2026-07-15T15:30:00+00:00
VOW3,Volkswagen AG Pref,XETRA,Consumer Discretionary,108.20,-1.12,1450000,EUR,2026-07-15T15:30:00+00:00
SPY,SPDR S&P 500 ETF,NYSEARCA,ETF,548.20,0.45,52000000,USD,2026-07-15T16:00:00+00:00
QQQ,Invesco QQQ Trust,NASDAQ,ETF,482.15,0.88,31000000,USD,2026-07-15T16:00:00+00:00
GLD,SPDR Gold Shares,NYSEARCA,Commodities,228.40,0.15,6800000,USD,2026-07-15T16:00:00+00:00
USO,United States Oil Fund,NYSEARCA,Energy,78.55,-0.65,4200000,USD,2026-07-15T16:00:00+00:00
BTC-USD,Bitcoin USD,CRYPTO,Crypto,67500.00,1.85,18500000000,USD,2026-07-15T16:05:00+00:00
